# 银行
# 格式: 股票代码.交易所  # 名称

000001.SZ  # 平安银行
001227.SZ  # 兰州银行
002142.SZ  # 宁波银行
002807.SZ  # 江阴银行
002839.SZ  # 张家港行
002936.SZ  # 郑州银行
002948.SZ  # 青岛银行
002958.SZ  # 青农商行
002966.SZ  # 苏州银行
600000.SH  # 浦发银行
600015.SH  # 华夏银行
600016.SH  # 民生银行
600036.SH  # 招商银行
600908.SH  # 无锡银行
600919.SH  # 江苏银行
600926.SH  # 杭州银行
600928.SH  # 西安银行
601009.SH  # 南京银行
601077.SH  # 渝农商行
601128.SH  # 常熟银行
601166.SH  # 兴业银行
601169.SH  # 北京银行
601187.SH  # 厦门银行
601229.SH  # 上海银行
601288.SH  # 农业银行
601328.SH  # 交通银行
601398.SH  # 工商银行
601528.SH  # 瑞丰银行
601577.SH  # 长沙银行
601658.SH  # 邮储银行
601665.SH  # 齐鲁银行
601818.SH  # 光大银行
601825.SH  # 沪农商行
601838.SH  # 成都银行
601860.SH  # 紫金银行
601916.SH  # 浙商银行
601939.SH  # 建设银行
601963.SH  # 重庆银行
601988.SH  # 中国银行
601997.SH  # 贵阳银行
601998.SH  # 中信银行
603323.SH  # 苏农银行
